"Venda_ID","Data da Venda","Quantidade","Preço Unitário","Cliente_ID","customer_name","Género","Idade","Cidade","Produto_ID","product_name","Categoria","Cor","Tamanho","Preço","Custo_Aquisição","Loja_ID","store_name","Região","store_city","Tipo"
1,"2020-04-19 13:51:40",30,175.88,41,Lourenço Branco,M,24,Cascais,259,Harum,Roupas,Vermelho,S,53.82,34.55,1,Loja Borges S.A.,Centro,Leiria,Online
2,"2016-05-16 04:52:08",90,83.19,308,Frederico Loureiro,M,62,Vila do Corvo,898,Eius,Calçado,Rosa,"37",54.14,13.43,1,Loja Borges S.A.,Centro,Leiria,Online
3,"2018-11-30 17:45:41",88,682.42,910,Ema Leal-Mota,F,31,Silves,357,Quasi,Roupas,Laranja,XS,75.15,43.01,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
4,"2024-12-31 15:53:01",63,365.5,914,Gaspar Neto,M,44,Lisboa,490,Voluptatibus,Roupas,Branco,XL,30.51,29.78,1,Loja Borges S.A.,Centro,Leiria,Online
5,"2019-03-21 17:00:00",47,182.52,92,Débora Silva,M,65,Faro,341,Suscipit,Roupas,Vermelho,XXL,84.84,26.49,4,Loja Maia Loureiro S.A.,Centro,Castelo Branco,Física
6,"2017-08-22 14:16:52",74,148.25,58,Filipa Carneiro,M,51,Vila do Porto,372,Sapiente,Calçado,Preto,"45",29.7,14.45,1,Loja Borges S.A.,Centro,Leiria,Online
7,"2017-10-30 01:15:12",62,841.36,143,Vera Gonçalves,F,49,Vila Real de Santo António,506,Quos,Calçado,Azul,"43",26.47,41.21,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
8,"2018-06-05 18:07:10",62,340.15,903,Salvador Nogueira,M,18,Silves,833,Quia,Calçado,Verde,"43",95.62,31.7,1,Loja Borges S.A.,Centro,Leiria,Online
9,"2022-11-23 18:16:01",68,81.98,672,Clara Pereira,F,52,Amarante,560,Doloribus,Calçado,Branco,"35",57.34,19.17,1,Loja Borges S.A.,Centro,Leiria,Online
10,"2022-05-31 02:30:43",85,217.73,494,Kelly Leal,M,68,Vila do Bispo,911,Consequuntur,Calçado,Roxo,"38",99.86,16.19,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
11,"2019-12-17 18:18:24",36,346.65,565,José Jesus,F,61,Valença,743,Necessitatibus,Calçado,Roxo,"41",40.9,49.0,2,Loja Ramos Lda.,Algarve,Lagoa,Física
12,"2022-07-21 09:53:14",52,917.16,436,Rodrigo Assunção,F,45,Albufeira,985,Possimus,Calçado,Verde,"39",28.23,15.23,5,Loja Araújo Pinto Lda.,Centro,Castelo de Paiva,Online
13,"2024-11-04 12:52:40",84,480.28,833,Leonardo Marques,F,49,Idanha-a-Nova,343,Nihil,Roupas,Cinzento,XS,74.19,22.79,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Física
