sale_id,datetime,quantity,unit_price,customer_id,customer_name,gender,age,customer_city,product_id,product_name,category,color,size,product_price,acquisition_cost,store_id,store_name,region,store_city,store_type,revenue,total_cost,profit,profit_margin_pct,age_group,sale_year,sale_month,sale_month_num,sale_quarter,sale_weekday,is_weekend
1,2020-04-19 13:51:40,30,175.88,41,Lourenço Branco,Male,24,Cascais,259,Harum,Clothing,Red,S,53.82,34.55,1,Loja Borges S.A.,Central,Leiria,Online,5276.4,1036.5,4239.9,80.35592449397316,18-24,2020,April,4,Q2,Sunday,True
2,2016-05-16 04:52:08,90,83.19,308,Frederico Loureiro,Male,62,Vila do Corvo,898,Eius,Footwear,Pink,37,54.14,13.43,1,Loja Borges S.A.,Central,Leiria,Online,7487.099999999999,1208.7,6278.4,83.85623272027888,55-64,2016,May,5,Q2,Monday,False
3,2018-11-30 17:45:41,88,682.42,910,Ema Leal-Mota,Female,31,Silves,357,Quasi,Clothing,Orange,XS,75.15,43.01,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,60052.96,3784.8799999999997,56268.08,93.6974297353536,25-34,2018,November,11,Q4,Friday,False
4,2024-12-31 15:53:01,63,365.5,914,Gaspar Neto,Male,44,Lisboa,490,Voluptatibus,Clothing,White,XL,30.51,29.78,1,Loja Borges S.A.,Central,Leiria,Online,23026.5,1876.14,21150.36,91.85225718194255,35-44,2024,December,12,Q4,Tuesday,False
5,2019-03-21 17:00:00,47,182.52,92,Débora Silva,Male,65,Faro,341,Suscipit,Clothing,Red,XXL,84.84,26.49,4,Loja Maia Loureiro S.A.,Central,Castelo Branco,Physical,8578.44,1245.03,7333.410000000001,85.48652202498357,65+,2019,March,3,Q1,Thursday,False
6,2017-08-22 14:16:52,74,148.25,58,Filipa Carneiro,Male,51,Vila do Porto,372,Sapiente,Footwear,Black,45,29.7,14.45,1,Loja Borges S.A.,Central,Leiria,Online,10970.5,1069.3,9901.2,90.25295109612142,45-54,2017,August,8,Q3,Tuesday,False
7,2017-10-30 01:15:12,62,841.36,143,Vera Gonçalves,Female,49,Vila Real de Santo António,506,Quos,Footwear,Blue,43,26.47,41.21,5,Loja Araújo Pinto Lda.,Central,Castelo de Paiva,Online,52164.32,2555.02,49609.3,95.10197775030903,45-54,2017,October,10,Q4,Monday,False
8,2018-06-05 18:07:10,62,340.15,903,Salvador Nogueira,Male,18,Silves,833,Quia,Footwear,Green,43,95.62,31.7,1,Loja Borges S.A.,Central,Leiria,Online,21089.3,1965.3999999999999,19123.899999999998,90.68058209613406,18-24,2018,June,6,Q2,Tuesday,False
9,2022-11-23 18:16:01,68,81.98,672,Clara Pereira,Female,52,Amarante,560,Doloribus,Footwear,White,35,57.34,19.17,1,Loja Borges S.A.,Central,Leiria,Online,5574.64,1303.5600000000002,4271.08,76.616247865333,45-54,2022,November,11,Q4,Wednesday,False
10,2022-05-31 02:30:43,85,217.73,494,Kelly Leal,Male,68,Vila do Bispo,911,Consequuntur,Footwear,Purple,38,99.86,16.19,3,Loja Araújo S/A,Alentejo,Ferreira do Alentejo,Physical,18507.05,1376.15,17130.899999999998,92.56418499977035,65+,2022,May,5,Q2,Tuesday,False
